,LocationType,Location,TimeFrame,DataFormat,Data
408,County,Crawford,2016,Number,91.0
410,County,Crawford,2015,Number,118.0
412,County,Crawford,2017,Number,102.0
420,County,Cuyahoga,2008,Number,3241.0
422,County,Cuyahoga,2009,Number,2923.0
423,County,Cuyahoga,2010,Number,2847.0
424,County,Cuyahoga,2011,Number,3088.0
425,County,Cuyahoga,2012,Number,3001.0
427,County,Cuyahoga,2013,Number,2697.0
429,County,Cuyahoga,2014,Number,2670.0
431,County,Cuyahoga,2016,Number,2939.0
433,County,Cuyahoga,2015,Number,2825.0
435,County,Cuyahoga,2017,Number,3294.0
443,County,Darke,2008,Number,67.0
445,County,Darke,2009,Number,71.0
446,County,Darke,2010,Number,67.0
447,County,Darke,2011,Number,53.0
448,County,Darke,2012,Number,49.0
450,County,Darke,2013,Number,45.0
452,County,Darke,2014,Number,48.0
454,County,Darke,2016,Number,57.0
456,County,Darke,2015,Number,56.0
458,County,Darke,2017,Number,49.0
466,County,Defiance,2008,Number,65.0
468,County,Defiance,2009,Number,68.0
469,County,Defiance,2010,Number,49.0
470,County,Defiance,2011,Number,48.0
471,County,Defiance,2012,Number,43.0
473,County,Defiance,2013,Number,43.0
475,County,Defiance,2014,Number,56.0
477,County,Defiance,2016,Number,58.0
479,County,Defiance,2015,Number,72.0
481,County,Defiance,2017,Number,47.0
489,County,Delaware,2008,Number,137.0
491,County,Delaware,2009,Number,125.0
492,County,Delaware,2010,Number,91.0
493,County,Delaware,2011,Number,60.0
494,County,Delaware,2012,Number,49.0
496,County,Delaware,2013,Number,64.0
498,County,Delaware,2014,Number,60.0
500,County,Delaware,2016,Number,69.0
502,County,Delaware,2015,Number,56.0
504,County,Delaware,2017,Number,60.0
512,County,Erie,2008,Number,196.0
514,County,Erie,2009,Number,145.0
515,County,Erie,2010,Number,112.0
516,County,Erie,2011,Number,104.0
517,County,Erie,2012,Number,130.0
519,County,Erie,2013,Number,170.0
521,County,Erie,2014,Number,166.0
523,County,Erie,2016,Number,174.0
525,County,Erie,2015,Number,199.0
527,County,Erie,2017,Number,180.0
535,County,Fairfield,2008,Number,314.0
537,County,Fairfield,2009,Number,297.0
538,County,Fairfield,2010,Number,244.0
539,County,Fairfield,2011,Number,316.0
540,County,Fairfield,2012,Number,287.0
542,County,Fairfield,2013,Number,317.0
544,County,Fairfield,2014,Number,285.0
546,County,Fairfield,2016,Number,302.0
548,County,Fairfield,2015,Number,275.0
550,County,Fairfield,2017,Number,253.0
558,County,Fayette,2008,Number,91.0
560,County,Fayette,2009,Number,81.0
561,County,Fayette,2010,Number,91.0
562,County,Fayette,2011,Number,75.0
563,County,Fayette,2012,Number,57.0
565,County,Fayette,2013,Number,73.0
567,County,Fayette,2014,Number,65.0
569,County,Fayette,2016,Number,83.0
571,County,Fayette,2015,Number,60.0
573,County,Fayette,2017,Number,107.0
581,County,Franklin,2008,Number,3718.0
583,County,Franklin,2009,Number,4150.0
584,County,Franklin,2010,Number,3955.0
585,County,Franklin,2011,Number,3974.0
586,County,Franklin,2012,Number,3751.0
588,County,Franklin,2013,Number,3830.0
590,County,Franklin,2014,Number,3748.0
592,County,Franklin,2016,Number,4091.0
594,County,Franklin,2015,Number,3812.0
596,County,Franklin,2017,Number,4253.0
604,County,Fulton,2008,Number,34.0
606,County,Fulton,2009,Number,28.0
607,County,Fulton,2010,Number,17.0
608,County,Fulton,2011,Number,30.0
609,County,Fulton,2012,Number,28.0
611,County,Fulton,2013,Number,39.0
613,County,Fulton,2014,Number,26.0
615,County,Fulton,2016,Number,25.0
617,County,Fulton,2015,Number,25.0
619,County,Fulton,2017,Number,38.0
627,County,Gallia,2008,Number,72.0
629,County,Gallia,2009,Number,40.0
630,County,Gallia,2010,Number,36.0
631,County,Gallia,2011,Number,42.0
632,County,Gallia,2012,Number,34.0
634,County,Gallia,2013,Number,37.0
636,County,Gallia,2014,Number,32.0
638,County,Gallia,2016,Number,33.0
640,County,Gallia,2015,Number,22.0
642,County,Gallia,2017,Number,34.0
650,County,Geauga,2008,Number,41.0
652,County,Geauga,2009,Number,56.0
653,County,Geauga,2010,Number,49.0
654,County,Geauga,2011,Number,51.0
655,County,Geauga,2012,Number,69.0
657,County,Geauga,2013,Number,91.0
659,County,Geauga,2014,Number,102.0
661,County,Geauga,2016,Number,115.0
663,County,Geauga,2015,Number,102.0
665,County,Geauga,2017,Number,95.0
673,County,Greene,2008,Number,235.0
675,County,Greene,2009,Number,245.0
676,County,Greene,2010,Number,251.0
677,County,Greene,2011,Number,183.0
678,County,Greene,2012,Number,181.0
680,County,Greene,2013,Number,179.0
682,County,Greene,2014,Number,195.0
684,County,Greene,2016,Number,249.0
686,County,Greene,2015,Number,252.0
688,County,Greene,2017,Number,239.0
696,County,Guernsey,2008,Number,78.0
698,County,Guernsey,2009,Number,96.0
699,County,Guernsey,2010,Number,91.0
700,County,Guernsey,2011,Number,91.0
701,County,Guernsey,2012,Number,73.0
703,County,Guernsey,2013,Number,75.0
705,County,Guernsey,2014,Number,63.0
707,County,Guernsey,2016,Number,98.0
709,County,Guernsey,2015,Number,78.0
711,County,Guernsey,2017,Number,134.0
719,County,Hamilton,2008,Number,2130.0
721,County,Hamilton,2009,Number,2159.0
722,County,Hamilton,2010,Number,2033.0
723,County,Hamilton,2011,Number,2249.0
724,County,Hamilton,2012,Number,2325.0
726,County,Hamilton,2013,Number,2326.0
728,County,Hamilton,2014,Number,2147.0
730,County,Hamilton,2016,Number,2933.0
732,County,Hamilton,2015,Number,2519.0
734,County,Hamilton,2017,Number,3583.0
742,County,Hancock,2008,Number,107.0
744,County,Hancock,2009,Number,101.0
745,County,Hancock,2010,Number,85.0
746,County,Hancock,2011,Number,85.0
747,County,Hancock,2012,Number,85.0
749,County,Hancock,2013,Number,75.0
751,County,Hancock,2014,Number,71.0
753,County,Hancock,2016,Number,76.0
755,County,Hancock,2015,Number,73.0
757,County,Hancock,2017,Number,88.0
765,County,Hardin,2008,Number,35.0
767,County,Hardin,2009,Number,35.0
768,County,Hardin,2010,Number,19.0
769,County,Hardin,2011,Number,22.0
770,County,Hardin,2012,Number,33.0
772,County,Hardin,2013,Number,33.0
774,County,Hardin,2014,Number,30.0
776,County,Hardin,2016,Number,42.0
778,County,Hardin,2015,Number,39.0
780,County,Hardin,2017,Number,51.0
788,County,Harrison,2008,Number,33.0
790,County,Harrison,2009,Number,25.0
791,County,Harrison,2010,Number,14.0
792,County,Harrison,2011,Number,42.0
793,County,Harrison,2012,Number,61.0
795,County,Harrison,2013,Number,42.0
797,County,Harrison,2014,Number,34.0
799,County,Harrison,2016,Number,61.0
801,County,Harrison,2015,Number,53.0
803,County,Harrison,2017,Number,70.0
811,County,Henry,2008,Number,42.0
813,County,Henry,2009,Number,38.0
814,County,Henry,2010,Number,30.0
815,County,Henry,2011,Number,37.0
816,County,Henry,2012,Number,48.0
818,County,Henry,2013,Number,41.0
820,County,Henry,2014,Number,47.0
822,County,Henry,2016,Number,42.0
824,County,Henry,2015,Number,48.0
826,County,Henry,2017,Number,36.0
834,County,Highland,2008,Number,120.0
836,County,Highland,2009,Number,101.0
837,County,Highland,2010,Number,84.0
838,County,Highland,2011,Number,81.0
839,County,Highland,2012,Number,114.0
841,County,Highland,2013,Number,157.0
843,County,Highland,2014,Number,214.0
845,County,Highland,2016,Number,205.0
847,County,Highland,2015,Number,231.0
849,County,Highland,2017,Number,181.0
857,County,Hocking,2008,Number,66.0
859,County,Hocking,2009,Number,58.0
860,County,Hocking,2010,Number,48.0
861,County,Hocking,2011,Number,49.0
862,County,Hocking,2012,Number,64.0
864,County,Hocking,2013,Number,69.0
866,County,Hocking,2014,Number,60.0
868,County,Hocking,2016,Number,56.0
870,County,Hocking,2015,Number,62.0
872,County,Hocking,2017,Number,47.0
880,County,Holmes,2008,Number,40.0
882,County,Holmes,2009,Number,35.0
883,County,Holmes,2010,Number,34.0
884,County,Holmes,2011,Number,31.0
885,County,Holmes,2012,Number,43.0
887,County,Holmes,2013,Number,63.0
889,County,Holmes,2014,Number,43.0
891,County,Holmes,2016,Number,29.0
893,County,Holmes,2015,Number,34.0
895,County,Holmes,2017,Number,32.0
903,County,Huron,2008,Number,82.0
905,County,Huron,2009,Number,44.0
906,County,Huron,2010,Number,33.0
907,County,Huron,2011,Number,38.0
908,County,Huron,2012,Number,30.0
910,County,Huron,2013,Number,40.0
912,County,Huron,2014,Number,53.0
914,County,Huron,2016,Number,32.0
916,County,Huron,2015,Number,45.0
918,County,Huron,2017,Number,26.0
926,County,Jackson,2008,Number,71.0
928,County,Jackson,2009,Number,66.0
929,County,Jackson,2010,Number,41.0
930,County,Jackson,2011,Number,45.0
931,County,Jackson,2012,Number,53.0
933,County,Jackson,2013,Number,52.0
935,County,Jackson,2014,Number,45.0
937,County,Jackson,2016,Number,72.0
939,County,Jackson,2015,Number,64.0
941,County,Jackson,2017,Number,60.0
949,County,Jefferson,2008,Number,131.0
951,County,Jefferson,2009,Number,132.0
952,County,Jefferson,2010,Number,131.0
953,County,Jefferson,2011,Number,120.0
954,County,Jefferson,2012,Number,124.0
956,County,Jefferson,2013,Number,130.0
958,County,Jefferson,2014,Number,115.0
960,County,Jefferson,2016,Number,128.0
962,County,Jefferson,2015,Number,117.0
964,County,Jefferson,2017,Number,112.0
972,County,Knox,2008,Number,28.0
974,County,Knox,2009,Number,22.0
