,LocationType,Location,TimeFrame,DataFormat,Data
1673,County,Sandusky,2016,Number,77.0
1675,County,Sandusky,2015,Number,79.0
1677,County,Sandusky,2017,Number,66.0
1685,County,Scioto,2008,Number,182.0
1687,County,Scioto,2009,Number,199.0
1688,County,Scioto,2010,Number,197.0
1689,County,Scioto,2011,Number,225.0
1690,County,Scioto,2012,Number,226.0
1692,County,Scioto,2013,Number,261.0
1694,County,Scioto,2014,Number,240.0
1696,County,Scioto,2016,Number,285.0
1698,County,Scioto,2015,Number,227.0
1700,County,Scioto,2017,Number,378.0
1708,County,Seneca,2008,Number,97.0
1710,County,Seneca,2009,Number,65.0
1711,County,Seneca,2010,Number,48.0
1712,County,Seneca,2011,Number,35.0
1713,County,Seneca,2012,Number,27.0
1715,County,Seneca,2013,Number,23.0
1717,County,Seneca,2014,Number,20.0
1719,County,Seneca,2016,Number,14.0
1721,County,Seneca,2015,Number,19.0
1723,County,Seneca,2017,Number,17.0
1731,County,Shelby,2008,Number,39.0
1733,County,Shelby,2009,Number,30.0
1734,County,Shelby,2010,Number,22.0
1735,County,Shelby,2011,Number,29.0
1736,County,Shelby,2012,Number,28.0
1738,County,Shelby,2013,Number,27.0
1740,County,Shelby,2014,Number,23.0
1742,County,Shelby,2016,Number,44.0
1744,County,Shelby,2015,Number,32.0
1746,County,Shelby,2017,Number,41.0
1754,County,Stark,2008,Number,1025.0
1756,County,Stark,2009,Number,918.0
1757,County,Stark,2010,Number,854.0
1758,County,Stark,2011,Number,862.0
1759,County,Stark,2012,Number,741.0
1761,County,Stark,2013,Number,713.0
1763,County,Stark,2014,Number,804.0
1765,County,Stark,2016,Number,633.0
1767,County,Stark,2015,Number,717.0
1769,County,Stark,2017,Number,671.0
1777,County,Summit,2008,Number,1965.0
1779,County,Summit,2009,Number,1712.0
1780,County,Summit,2010,Number,1583.0
1781,County,Summit,2011,Number,1440.0
1782,County,Summit,2012,Number,1289.0
1784,County,Summit,2013,Number,1213.0
1786,County,Summit,2014,Number,1270.0
1788,County,Summit,2016,Number,1460.0
1790,County,Summit,2015,Number,1368.0
1792,County,Summit,2017,Number,1409.0
1800,County,Trumbull,2008,Number,268.0
1802,County,Trumbull,2009,Number,300.0
1803,County,Trumbull,2010,Number,280.0
1804,County,Trumbull,2011,Number,277.0
1805,County,Trumbull,2012,Number,271.0
1807,County,Trumbull,2013,Number,245.0
1809,County,Trumbull,2014,Number,288.0
1811,County,Trumbull,2016,Number,266.0
1813,County,Trumbull,2015,Number,320.0
1815,County,Trumbull,2017,Number,266.0
1823,County,Tuscarawas,2008,Number,219.0
1825,County,Tuscarawas,2009,Number,185.0
1826,County,Tuscarawas,2010,Number,188.0
1827,County,Tuscarawas,2011,Number,187.0
1828,County,Tuscarawas,2012,Number,171.0
1830,County,Tuscarawas,2013,Number,168.0
1832,County,Tuscarawas,2014,Number,142.0
1834,County,Tuscarawas,2016,Number,169.0
1836,County,Tuscarawas,2015,Number,162.0
1838,County,Tuscarawas,2017,Number,149.0
1846,County,Union,2008,Number,92.0
1848,County,Union,2009,Number,87.0
1849,County,Union,2010,Number,85.0
1850,County,Union,2011,Number,90.0
1851,County,Union,2012,Number,72.0
1853,County,Union,2013,Number,80.0
1855,County,Union,2014,Number,69.0
1857,County,Union,2016,Number,80.0
1859,County,Union,2015,Number,76.0
1861,County,Union,2017,Number,69.0
1869,County,Van Wert,2008,Number,7.0
1871,County,Van Wert,2009,Number,6.0
1872,County,Van Wert,2010,Number,2.0
1873,County,Van Wert,2011,Number,14.0
1874,County,Van Wert,2012,Number,10.0
1876,County,Van Wert,2013,Number,8.0
1878,County,Van Wert,2014,Number,9.0
1880,County,Van Wert,2016,Number,6.0
1882,County,Van Wert,2015,Number,5.0
1884,County,Van Wert,2017,Number,12.0
1892,County,Vinton,2008,Number,54.0
1894,County,Vinton,2009,Number,38.0
1895,County,Vinton,2010,Number,37.0
1896,County,Vinton,2011,Number,51.0
1897,County,Vinton,2012,Number,49.0
1899,County,Vinton,2013,Number,64.0
1901,County,Vinton,2014,Number,59.0
1903,County,Vinton,2016,Number,60.0
1905,County,Vinton,2015,Number,46.0
1907,County,Vinton,2017,Number,52.0
1915,County,Warren,2008,Number,139.0
1917,County,Warren,2009,Number,127.0
1918,County,Warren,2010,Number,145.0
1919,County,Warren,2011,Number,161.0
1920,County,Warren,2012,Number,196.0
1922,County,Warren,2013,Number,202.0
1924,County,Warren,2014,Number,205.0
1926,County,Warren,2016,Number,315.0
1928,County,Warren,2015,Number,259.0
1930,County,Warren,2017,Number,353.0
1938,County,Washington,2008,Number,66.0
1940,County,Washington,2009,Number,87.0
1941,County,Washington,2010,Number,76.0
1942,County,Washington,2011,Number,66.0
1943,County,Washington,2012,Number,59.0
1945,County,Washington,2013,Number,68.0
1947,County,Washington,2014,Number,68.0
1949,County,Washington,2016,Number,112.0
1951,County,Washington,2015,Number,84.0
1953,County,Washington,2017,Number,116.0
1961,County,Wayne,2008,Number,221.0
1963,County,Wayne,2009,Number,217.0
1964,County,Wayne,2010,Number,180.0
1965,County,Wayne,2011,Number,194.0
1966,County,Wayne,2012,Number,239.0
1968,County,Wayne,2013,Number,251.0
1970,County,Wayne,2014,Number,230.0
1972,County,Wayne,2016,Number,216.0
1974,County,Wayne,2015,Number,214.0
1976,County,Wayne,2017,Number,198.0
1984,County,Williams,2008,Number,60.0
1986,County,Williams,2009,Number,70.0
1987,County,Williams,2010,Number,82.0
1988,County,Williams,2011,Number,78.0
1989,County,Williams,2012,Number,71.0
1991,County,Williams,2013,Number,78.0
1993,County,Williams,2014,Number,71.0
1995,County,Williams,2016,Number,68.0
1997,County,Williams,2015,Number,105.0
1999,County,Williams,2017,Number,56.0
2007,County,Wood,2008,Number,81.0
2009,County,Wood,2009,Number,67.0
2010,County,Wood,2010,Number,74.0
2011,County,Wood,2011,Number,67.0
2012,County,Wood,2012,Number,66.0
2014,County,Wood,2013,Number,81.0
2016,County,Wood,2014,Number,62.0
2018,County,Wood,2016,Number,63.0
2020,County,Wood,2015,Number,74.0
2022,County,Wood,2017,Number,88.0
2030,County,Wyandot,2008,Number,15.0
2032,County,Wyandot,2009,Number,14.0
2033,County,Wyandot,2010,Number,25.0
2034,County,Wyandot,2011,Number,30.0
2035,County,Wyandot,2012,Number,22.0
2037,County,Wyandot,2013,Number,12.0
2039,County,Wyandot,2014,Number,12.0
2041,County,Wyandot,2016,Number,7.0
2043,County,Wyandot,2015,Number,9.0
2045,County,Wyandot,2017,Number,21.0
