,County,Total Deaths in 2008,Population in 2008,Total Deaths in 2009,Population in 2009,Total Deaths in 2010,Population in 2010,Total Deaths in 2011,Population in 2011,Total Deaths in 2012,Population in 2012,Total Deaths in 2013,Population in 2013,Total Deaths in 2014,Population in 2014,Total Deaths in 2015,Population in 2015,Total Deaths in 2016,Population in 2016,Total Deaths in 2017,Population in 2017,2008 Death Rate,2009 Death Rate,2010 Death Rate,2011 Death Rate,2012 Death Rate,2013 Death Rate,2014 Death Rate,2015 Death Rate,2016 Death Rate,2017 Death Rate
21,Erie,9,77573,12,77085,6,76981,8,76675,8,76404,11,76011,32,75763,57,75310,76,74944,80,74817,11.60197491395202,15.567230978789649,7.794131019342435,10.433648516465603,10.47065598659756,14.471589638341818,42.23697583253039,75.6871597397424,101.40905209222886,106.9275699373137
22,Fairfield,9,144029,40,145446,36,146396,23,147140,38,147272,33,148712,25,150309,43,151197,54,152681,112,154733,6.248741572877685,27.501615719923546,24.59083581518621,15.631371482941416,25.802596556032373,22.19054279412556,16.632403914602587,28.439717719266916,35.36785847616927,72.38274963970194
23,Fayette,4,28896,10,28929,3,29007,5,28854,3,28754,4,28666,25,28630,41,28583,19,28662,77,28752,13.842746400885936,34.56738912509938,10.34233116144379,17.328619948707285,10.43333101481533,13.953812879369286,87.32099196646874,143.44190602805864,66.28986114018561,267.80745687256535
24,Franklin,226,1141183,282,1155408,398,1166274,429,1180739,389,1198608,380,1216299,423,1235582,613,1253674,797,1269998,1238,1291981,19.804010399734313,24.406962735241578,34.1257714739418,36.33317778103374,32.45431367052447,31.242317884007136,34.234878785867714,48.896284041943915,62.75600434016432,95.82184258127634
25,Fulton,3,42780,7,42747,14,42626,3,42351,15,42324,3,42183,17,42398,20,42283,29,42325,10,42289,7.012622720897616,16.37541815799939,32.84380425092667,7.083658000991712,35.44088460447973,7.1118697105469035,40.0962309542903,47.300333467350946,68.51742468989958,23.64681122750597
26,Gallia,6,30997,3,30857,3,31077,9,31025,4,30869,11,30615,7,30347,21,30083,31,29996,56,29973,19.35671193986515,9.722267232718671,9.653441451877594,29.008863819500405,12.957983737730409,35.93009962436714,23.066530464296306,69.80686766612372,103.34711294839312,186.83481800286924
27,Geauga,9,93583,7,93446,17,93396,23,93292,21,93776,28,93840,24,93976,47,93895,77,93848,79,93918,9.617131316585278,7.490957344348608,18.202064328236755,24.65377524332204,22.39378945572428,29.838022165387894,25.538435345194518,50.05591352042174,82.0475662773847,84.11593091846079
28,Greene,40,160115,16,161075,23,161592,25,163561,23,164306,31,163722,57,164496,103,164047,114,165109,178,166752,24.982044155763045,9.933260903305914,14.233377889994554,15.284817285294173,13.998271517777805,18.934535370933656,34.65129851181792,62.78688424658787,69.04529734902397,106.74534638265209
29,Guernsey,0,40347,5,40242,11,40127,2,39902,6,39871,13,39705,24,39689,19,39385,30,39200,23,39093,0.0,12.424829779832017,27.412963839808608,5.012280086211217,15.04853151413308,32.741468328925826,60.47015545869132,48.24171638948838,76.53061224489795,58.8340623641061
30,Hamilton,198,799840,168,802149,227,802279,289,800617,331,802318,435,804409,637,806790,1034,808405,987,810087,1380,813822,24.75495099019804,20.943739878750705,28.294396338430893,36.09716006529964,41.25546229799157,54.07696830841027,78.95487053632296,127.90618563714969,121.83876546593144,169.57025000552946
