,County,2008 Death Rate,2009 Death Rate,2010 Death Rate,2011 Death Rate,2012 Death Rate,2013 Death Rate,2014 Death Rate,2015 Death Rate,2016 Death Rate,2017 Death Rate,Total Death Rate
0,Adams,13.944084222268703,10.526315789473685,10.508985182330893,0.0,31.80212014134276,35.59225512528474,99.77550511349465,93.1432256215519,125.75452716297787,144.26891726177595,565.3159356205011
1,Allen,1.8731327208189337,5.632850785782685,5.6409002876859144,13.210662892191555,28.508167590014537,29.51678171863842,19.07614242247933,53.798045978115724,71.41064983691352,92.05604759782166,320.7233818304623
2,Ashland,7.476775266827417,0.0,7.501312729727703,13.146280541626759,0.0,0.0,16.946918485322087,22.5462197504885,18.720632008536608,13.052882822406207,99.39102160493528
3,Ashtabula,5.892404690354133,8.859662939045519,10.848447192717734,4.947555907381753,30.929789378111685,24.068354125717036,47.46467920946062,37.60315459978048,130.38739316892298,54.18835052705839,355.18979173855035
4,Athens,4.647848046354538,20.118233309604136,13.808340237503453,56.85310387215734,27.868091035764053,32.580364900086884,32.483101053380565,30.398370647333305,25.63329312424608,21.02196795651456,265.4127141829449
5,Auglaize,19.49444408343622,6.522306287503261,13.063072870174826,21.849804444250225,24.02113860196973,21.827389007726893,6.55694708543702,39.34512229775514,15.284843985413891,39.32019747476954,207.28526613843673
6,Belmont,17.056114617090227,8.518008489615127,17.05999431333523,4.278562973316029,24.390243902439025,2.875422327654374,17.304031839418585,36.26183949059368,52.502625131256565,35.27907216040218,215.52591524512104
7,Brown,20.148652279036444,15.645954403218596,31.194295900178254,24.642129079952507,27.091705422856368,65.72089017812628,61.44183506280721,160.17207056723797,103.10695628265054,190.471819350101,699.6363085261652
8,Butler,27.459024271031552,36.82156270712129,30.616004855210683,40.80540685152507,29.965013821700072,58.48788599983289,99.09263286447342,149.63961349312643,157.43531260831946,193.6395833990184,823.9620408713592
9,Carroll,20.690368633401153,17.29086696406958,0.0,0.0,28.03083391730904,17.695356738391844,21.32878319291884,43.29629095107519,28.94670188515396,51.12287748767574,228.40207976999534
10,Champaign,0.0,0.0,44.91914553803154,32.65429152746728,32.860645585298656,22.815423226100844,53.762064463275394,51.3597493644231,74.86382528332085,121.00926879505664,434.2444137829743
11,Clark,22.237525465553354,23.058409834411794,28.206704516688966,62.43012907066219,58.34518469897531,55.650340126091955,66.06328863050803,148.9411903497906,152.2793620608969,215.52204641898973,832.7341811725688
12,Clermont,43.391477913737745,28.496987461325517,59.213522951566375,57.84184530575702,60.66987565182511,67.38006348699315,105.77176142260537,156.53871113158664,135.45730385782403,136.62138736815302,851.3829365513741
13,Clinton,35.16504126031508,33.00485642887453,4.771789182353924,4.773839360305526,50.23562902184053,59.74572220629003,38.28850387671102,138.6829898139735,90.73326806905278,199.95715203884882,655.3587912585657
14,Columbiana,6.453456748010952,0.0,3.707960992250362,6.518540591883486,19.702584791480977,12.274804547342976,22.736530973786675,19.114611208808014,23.133867982726713,39.77608971933603,153.4184475556262
15,Coshocton,16.236841393120994,0.0,5.4147714966428415,5.416384563303994,8.147745790331342,21.787679067487336,10.95110332365986,21.87047212881708,10.915838882218099,24.62784588441331,125.36868252999486
16,Crawford,13.546770224199047,9.107260763643815,13.712091779600978,16.163295465041102,16.363551358174764,11.707134327659276,63.70027839380927,70.96056957683847,47.57713442919333,122.1673932831888,385.00547960134884
17,Cuyahoga,19.58994300333184,21.08814846056516,23.470505398216243,36.128617879651564,35.697080263147505,40.56548122680137,45.30840209464228,53.26096202016445,133.4711924011571,142.48939138848263,551.0697241361602
18,Darke,9.45018805874237,13.250298131707963,7.552299675251113,13.296356798237282,45.70732078921307,26.77171377213447,55.58430605868936,57.74116560166295,102.64156789836548,157.17168581185967,489.1669025958637
19,Defiance,0.0,10.240655401945725,5.117445371270661,30.77870113881194,12.887594401628991,15.575919628254718,31.184220784283156,60.08987355000522,34.10193856404606,20.96655833944858,220.94290717969506
20,Delaware,7.200633655761708,14.647636457381237,15.418351264304803,14.001993883929073,19.87325280985713,18.886352721523426,14.784932042115935,13.459019872760498,14.737494727534212,42.900470907494615,175.91013834266263
21,Erie,11.60197491395202,15.567230978789649,7.794131019342435,10.433648516465603,10.47065598659756,14.471589638341818,42.23697583253039,75.6871597397424,101.40905209222886,106.9275699373137,396.59998865530446
22,Fairfield,6.248741572877685,27.501615719923546,24.59083581518621,15.631371482941416,25.802596556032373,22.19054279412556,16.632403914602587,28.439717719266916,35.36785847616927,72.38274963970194,274.7884336908275
23,Fayette,13.842746400885936,34.56738912509938,10.34233116144379,17.328619948707285,10.43333101481533,13.953812879369286,87.32099196646874,143.44190602805864,66.28986114018561,267.80745687256535,665.3284465375993
24,Franklin,19.804010399734313,24.406962735241578,34.1257714739418,36.33317778103374,32.45431367052447,31.242317884007136,34.234878785867714,48.896284041943915,62.75600434016432,95.82184258127634,420.0755636937354
25,Fulton,7.012622720897616,16.37541815799939,32.84380425092667,7.083658000991712,35.44088460447973,7.1118697105469035,40.0962309542903,47.300333467350946,68.51742468989958,23.64681122750597,285.4290577848888
26,Gallia,19.35671193986515,9.722267232718671,9.653441451877594,29.008863819500405,12.957983737730409,35.93009962436714,23.066530464296306,69.80686766612372,103.34711294839312,186.83481800286924,499.6846968877418
27,Geauga,9.617131316585278,7.490957344348608,18.202064328236755,24.65377524332204,22.39378945572428,29.838022165387894,25.538435345194518,50.05591352042174,82.0475662773847,84.11593091846079,353.9535859150666
28,Greene,24.982044155763045,9.933260903305914,14.233377889994554,15.284817285294173,13.998271517777805,18.934535370933656,34.65129851181792,62.78688424658787,69.04529734902397,106.74534638265209,370.595133613151
