,Location,Year,Children In Foster Care
630,Gallia,2010,36
631,Gallia,2011,42
632,Gallia,2012,34
634,Gallia,2013,37
636,Gallia,2014,32
638,Gallia,2016,33
640,Gallia,2015,22
642,Gallia,2017,34
650,Geauga,2008,41
652,Geauga,2009,56
653,Geauga,2010,49
654,Geauga,2011,51
655,Geauga,2012,69
657,Geauga,2013,91
659,Geauga,2014,102
661,Geauga,2016,115
663,Geauga,2015,102
665,Geauga,2017,95
673,Greene,2008,235
675,Greene,2009,245
676,Greene,2010,251
677,Greene,2011,183
678,Greene,2012,181
680,Greene,2013,179
682,Greene,2014,195
684,Greene,2016,249
686,Greene,2015,252
688,Greene,2017,239
696,Guernsey,2008,78
698,Guernsey,2009,96
699,Guernsey,2010,91
700,Guernsey,2011,91
701,Guernsey,2012,73
703,Guernsey,2013,75
705,Guernsey,2014,63
707,Guernsey,2016,98
709,Guernsey,2015,78
711,Guernsey,2017,134
719,Hamilton,2008,2130
721,Hamilton,2009,2159
722,Hamilton,2010,2033
723,Hamilton,2011,2249
724,Hamilton,2012,2325
726,Hamilton,2013,2326
728,Hamilton,2014,2147
730,Hamilton,2016,2933
732,Hamilton,2015,2519
734,Hamilton,2017,3583
742,Hancock,2008,107
744,Hancock,2009,101
745,Hancock,2010,85
746,Hancock,2011,85
747,Hancock,2012,85
749,Hancock,2013,75
751,Hancock,2014,71
753,Hancock,2016,76
755,Hancock,2015,73
757,Hancock,2017,88
765,Hardin,2008,35
767,Hardin,2009,35
768,Hardin,2010,19
769,Hardin,2011,22
770,Hardin,2012,33
772,Hardin,2013,33
774,Hardin,2014,30
776,Hardin,2016,42
778,Hardin,2015,39
780,Hardin,2017,51
788,Harrison,2008,33
790,Harrison,2009,25
791,Harrison,2010,14
792,Harrison,2011,42
793,Harrison,2012,61
795,Harrison,2013,42
797,Harrison,2014,34
799,Harrison,2016,61
801,Harrison,2015,53
803,Harrison,2017,70
811,Henry,2008,42
813,Henry,2009,38
814,Henry,2010,30
815,Henry,2011,37
816,Henry,2012,48
818,Henry,2013,41
820,Henry,2014,47
822,Henry,2016,42
824,Henry,2015,48
826,Henry,2017,36
834,Highland,2008,120
836,Highland,2009,101
837,Highland,2010,84
838,Highland,2011,81
839,Highland,2012,114
841,Highland,2013,157
843,Highland,2014,214
845,Highland,2016,205
847,Highland,2015,231
849,Highland,2017,181
857,Hocking,2008,66
859,Hocking,2009,58
860,Hocking,2010,48
861,Hocking,2011,49
862,Hocking,2012,64
864,Hocking,2013,69
866,Hocking,2014,60
868,Hocking,2016,56
870,Hocking,2015,62
872,Hocking,2017,47
880,Holmes,2008,40
882,Holmes,2009,35
883,Holmes,2010,34
884,Holmes,2011,31
885,Holmes,2012,43
887,Holmes,2013,63
889,Holmes,2014,43
891,Holmes,2016,29
893,Holmes,2015,34
895,Holmes,2017,32
903,Huron,2008,82
905,Huron,2009,44
906,Huron,2010,33
907,Huron,2011,38
908,Huron,2012,30
910,Huron,2013,40
912,Huron,2014,53
914,Huron,2016,32
916,Huron,2015,45
918,Huron,2017,26
926,Jackson,2008,71
928,Jackson,2009,66
929,Jackson,2010,41
930,Jackson,2011,45
931,Jackson,2012,53
933,Jackson,2013,52
935,Jackson,2014,45
937,Jackson,2016,72
939,Jackson,2015,64
941,Jackson,2017,60
949,Jefferson,2008,131
951,Jefferson,2009,132
952,Jefferson,2010,131
953,Jefferson,2011,120
954,Jefferson,2012,124
956,Jefferson,2013,130
958,Jefferson,2014,115
960,Jefferson,2016,128
962,Jefferson,2015,117
964,Jefferson,2017,112
972,Knox,2008,28
974,Knox,2009,22
975,Knox,2010,26
976,Knox,2011,24
977,Knox,2012,36
979,Knox,2013,28
981,Knox,2014,46
983,Knox,2016,114
985,Knox,2015,43
987,Knox,2017,150
995,Lake,2008,118
997,Lake,2009,104
998,Lake,2010,104
999,Lake,2011,109
1000,Lake,2012,131
1002,Lake,2013,139
1004,Lake,2014,124
1006,Lake,2016,139
1008,Lake,2015,124
1010,Lake,2017,152
1018,Lawrence,2008,128
1020,Lawrence,2009,130
1021,Lawrence,2010,89
1022,Lawrence,2011,65
1023,Lawrence,2012,59
1025,Lawrence,2013,52
1027,Lawrence,2014,43
1029,Lawrence,2016,84
1031,Lawrence,2015,62
1033,Lawrence,2017,98
1041,Licking,2008,511
1043,Licking,2009,478
1044,Licking,2010,481
1045,Licking,2011,479
1046,Licking,2012,471
1048,Licking,2013,511
1050,Licking,2014,567
1052,Licking,2016,551
1054,Licking,2015,569
1056,Licking,2017,677
1064,Logan,2008,25
1066,Logan,2009,15
1067,Logan,2010,23
1068,Logan,2011,39
1069,Logan,2012,42
1071,Logan,2013,40
1073,Logan,2014,41
1075,Logan,2016,65
1077,Logan,2015,48
1079,Logan,2017,85
1087,Lorain,2008,178
1089,Lorain,2009,189
1090,Lorain,2010,211
1091,Lorain,2011,236
1092,Lorain,2012,287
1094,Lorain,2013,290
1096,Lorain,2014,275
1098,Lorain,2016,233
1100,Lorain,2015,236
1102,Lorain,2017,234
1110,Lucas,2008,1764
1112,Lucas,2009,1165
1113,Lucas,2010,858
1114,Lucas,2011,848
1115,Lucas,2012,938
1117,Lucas,2013,1026
1119,Lucas,2014,972
1121,Lucas,2016,1142
1123,Lucas,2015,986
1125,Lucas,2017,1373
1133,Madison,2008,53
1135,Madison,2009,53
1136,Madison,2010,38
1137,Madison,2011,31
1138,Madison,2012,38
1140,Madison,2013,46
1142,Madison,2014,32
1144,Madison,2016,35
1146,Madison,2015,26
1148,Madison,2017,35
1156,Mahoning,2008,380
1158,Mahoning,2009,394
1159,Mahoning,2010,359
1160,Mahoning,2011,325
1161,Mahoning,2012,315
1163,Mahoning,2013,344
1165,Mahoning,2014,285
1167,Mahoning,2016,274
1169,Mahoning,2015,289
1171,Mahoning,2017,322
1179,Marion,2008,82
1181,Marion,2009,74
1182,Marion,2010,91
1183,Marion,2011,80
1184,Marion,2012,72
1186,Marion,2013,90
1188,Marion,2014,88
1190,Marion,2016,112
1192,Marion,2015,103
1194,Marion,2017,126
1202,Medina,2008,81
1204,Medina,2009,82
1205,Medina,2010,74
1206,Medina,2011,81
1207,Medina,2012,91
1209,Medina,2013,92
1211,Medina,2014,91
1213,Medina,2016,138
1215,Medina,2015,108
1217,Medina,2017,161
1225,Meigs,2008,45
1227,Meigs,2009,58
1228,Meigs,2010,57
1229,Meigs,2011,57
1230,Meigs,2012,50
1232,Meigs,2013,76
1234,Meigs,2014,66
1236,Meigs,2016,52
1238,Meigs,2015,47
1240,Meigs,2017,53
1248,Mercer,2008,38
1250,Mercer,2009,39
1251,Mercer,2010,50
1252,Mercer,2011,47
1253,Mercer,2012,54
1255,Mercer,2013,54
1257,Mercer,2014,53
1259,Mercer,2016,65
1261,Mercer,2015,52
1263,Mercer,2017,93
1271,Miami,2008,140
1273,Miami,2009,99
1274,Miami,2010,70
1275,Miami,2011,75
1276,Miami,2012,86
1278,Miami,2013,78
1280,Miami,2014,82
1282,Miami,2016,103
1284,Miami,2015,79
1286,Miami,2017,64
1294,Monroe,2008,32
1296,Monroe,2009,25
1297,Monroe,2010,17
1298,Monroe,2011,18
1299,Monroe,2012,14
1301,Monroe,2013,9
1303,Monroe,2014,10
1305,Monroe,2016,23
1307,Monroe,2015,14
1309,Monroe,2017,24
1317,Montgomery,2008,1273
1319,Montgomery,2009,1410
1320,Montgomery,2010,1268
1321,Montgomery,2011,1203
1322,Montgomery,2012,1147
1324,Montgomery,2013,1156
1326,Montgomery,2014,1131
1328,Montgomery,2016,1033
1330,Montgomery,2015,1034
1332,Montgomery,2017,1072
1340,Morgan,2008,15
1342,Morgan,2009,11
1343,Morgan,2010,13
1344,Morgan,2011,10
1345,Morgan,2012,13
1347,Morgan,2013,19
1349,Morgan,2014,19
1351,Morgan,2016,27
1353,Morgan,2015,23
1355,Morgan,2017,24
1363,Morrow,2008,26
1365,Morrow,2009,25
1366,Morrow,2010,19
1367,Morrow,2011,25
1368,Morrow,2012,44
1370,Morrow,2013,44
1372,Morrow,2014,40
1374,Morrow,2016,39
1376,Morrow,2015,36
1378,Morrow,2017,65
1386,Muskingum,2008,290
1388,Muskingum,2009,252
1389,Muskingum,2010,138
1390,Muskingum,2011,201
1391,Muskingum,2012,167
1393,Muskingum,2013,164
1395,Muskingum,2014,211
1397,Muskingum,2016,226
1399,Muskingum,2015,217
1401,Muskingum,2017,344
1409,Noble,2008,8
1411,Noble,2009,20
1412,Noble,2010,28
1413,Noble,2011,28
1414,Noble,2012,19
1416,Noble,2013,6
1418,Noble,2014,13
1420,Noble,2016,31
1422,Noble,2015,20
1424,Noble,2017,52
1432,Ottawa,2008,35
1434,Ottawa,2009,38
1435,Ottawa,2010,40
1436,Ottawa,2011,48
1437,Ottawa,2012,36
1439,Ottawa,2013,40
1441,Ottawa,2014,43
1443,Ottawa,2016,52
1445,Ottawa,2015,46
1447,Ottawa,2017,38
1455,Paulding,2008,25
1457,Paulding,2009,22
1458,Paulding,2010,14
1459,Paulding,2011,18
1460,Paulding,2012,30
1462,Paulding,2013,28
1464,Paulding,2014,30
1466,Paulding,2016,20
1468,Paulding,2015,18
1470,Paulding,2017,12
1478,Perry,2008,62
1480,Perry,2009,68
1481,Perry,2010,96
1482,Perry,2011,112
1483,Perry,2012,120
1485,Perry,2013,167
1487,Perry,2014,177
1489,Perry,2016,113
1491,Perry,2015,131
1493,Perry,2017,108
1501,Pickaway,2008,40
1503,Pickaway,2009,41
1504,Pickaway,2010,37
1505,Pickaway,2011,27
1506,Pickaway,2012,26
1508,Pickaway,2013,37
1510,Pickaway,2014,48
1512,Pickaway,2016,68
1514,Pickaway,2015,64
1516,Pickaway,2017,68
1524,Pike,2008,61
1526,Pike,2009,60
1527,Pike,2010,44
1528,Pike,2011,42
1529,Pike,2012,59
1531,Pike,2013,59
1533,Pike,2014,63
1535,Pike,2016,81
1537,Pike,2015,84
1539,Pike,2017,88
1547,Portage,2008,230
1549,Portage,2009,225
1550,Portage,2010,196
1551,Portage,2011,218
1552,Portage,2012,220
1554,Portage,2013,249
1556,Portage,2014,294
1558,Portage,2016,313
1560,Portage,2015,328
1562,Portage,2017,400
1570,Preble,2008,138
1572,Preble,2009,130
1573,Preble,2010,120
1574,Preble,2011,155
1575,Preble,2012,148
1577,Preble,2013,158
1579,Preble,2014,152
1581,Preble,2016,155
1583,Preble,2015,166
1585,Preble,2017,149
1593,Putnam,2008,12
1595,Putnam,2009,7
1596,Putnam,2010,7
1597,Putnam,2011,5
1598,Putnam,2012,13
1600,Putnam,2013,11
1602,Putnam,2014,8
1604,Putnam,2016,11
1606,Putnam,2015,13
1608,Putnam,2017,19
1616,Richland,2008,126
1618,Richland,2009,102
1619,Richland,2010,94
1620,Richland,2011,96
1621,Richland,2012,106
1623,Richland,2013,100
1625,Richland,2014,97
1627,Richland,2016,130
1629,Richland,2015,135
1631,Richland,2017,153
1639,Ross,2008,178
1641,Ross,2009,224
1642,Ross,2010,154
1643,Ross,2011,205
1644,Ross,2012,161
1646,Ross,2013,199
1648,Ross,2014,212
1650,Ross,2016,200
1652,Ross,2015,229
1654,Ross,2017,241
1662,Sandusky,2008,46
1664,Sandusky,2009,39
1665,Sandusky,2010,33
1666,Sandusky,2011,38
1667,Sandusky,2012,35
1669,Sandusky,2013,47
1671,Sandusky,2014,62
1673,Sandusky,2016,77
1675,Sandusky,2015,79
1677,Sandusky,2017,66
1685,Scioto,2008,182
1687,Scioto,2009,199
1688,Scioto,2010,197
1689,Scioto,2011,225
1690,Scioto,2012,226
1692,Scioto,2013,261
1694,Scioto,2014,240
1696,Scioto,2016,285
1698,Scioto,2015,227
1700,Scioto,2017,378
1708,Seneca,2008,97
1710,Seneca,2009,65
1711,Seneca,2010,48
1712,Seneca,2011,35
1713,Seneca,2012,27
1715,Seneca,2013,23
1717,Seneca,2014,20
1719,Seneca,2016,14
1721,Seneca,2015,19
1723,Seneca,2017,17
1731,Shelby,2008,39
1733,Shelby,2009,30
1734,Shelby,2010,22
1735,Shelby,2011,29
1736,Shelby,2012,28
1738,Shelby,2013,27
1740,Shelby,2014,23
1742,Shelby,2016,44
1744,Shelby,2015,32
1746,Shelby,2017,41
1754,Stark,2008,1025
1756,Stark,2009,918
